id;laboratory_id;laboratory;stock_item_id;stock_item;department_id;department;available;comment;reporting_period_id
1;prey ecstatic professor;alteration upside-down gadzooks;miss drop contextualize;because;ligand inside;crackle phooey;NOT_AVAILABLE;whose woot;hmph
2;top ha;arctic rifle;approve stem apud;tender oof mean;joust free;following why;NOT_AVAILABLE;while attentive;toward
3;afore huzzah;julienne that victoriously;patiently;faithfully;till remorseful;eek adventurously quietly;NOT_AVAILABLE;pro blah;like
4;exactly;jovially eek synthesis;past;structure;flick;why sheepishly;NOT_AVAILABLE;fast threaten;what
5;rail;quirkily;furthermore;weld;faithfully;supervise oof phooey;NOT_AVAILABLE;than who;yet vice
6;save phew ugh;syndicate nervously catalyse;with;that at;brr before;noisily bitterly mmm;NOT_AVAILABLE;decent knowingly shoehorn;sparkling till dump
7;same ouch;holiday gleaming reproachfully;harangue even;briefly buff astride;consequently;properly behind to;AVAILABLE;satiate;insidious from fooey
8;immaterial unless;including bustling;suspiciously but;unto;destabilize;save yearly;AVAILABLE;nor when promenade;among
9;wealthy for and;pfft fool rectify;woot partner gland;or;autograph whoa;fooey;NOT_AVAILABLE;duh;blah
10;underpass;consequently heavenly er;until under;sole as;circa;as once unlike;NOT_AVAILABLE;blah;tie
