id;laboratory_id;laboratory;department_id;department;instrument_id;instrument;status;uptime;downtime;service_status;caliberation_status;functionality;comment;reporting_period_id
1;likewise;rigidly;yuck amongst abaft;sneeze huzzah well-made;idle acrobatic nor;ugh;legitimate;around regarding;chief when generator;yet;masticate digital;YES;replicate mocha;conservative
2;perky participate overhaul;joyfully against;tank-top once;aspirate;for;hourly likewise outside;whimsical;misguided wink;delightfully afore;zigzag;whoa whoever;YES;worth pink phooey;consequently
3;beside;beside;zowie yawningly provided;provided abaft woozy;pixellate;placebo;uh-huh ruby till;lest geez sedately;illustrious license;whole that;glittering ah unlike;NO;funny that fooey;once oddly bony
4;cage woot bare;actually likewise;wetly;turning antedate infantilise;yahoo forecast twine;heavily finally;hence;ark deadly overrate;schtup briefly sharply;glockenspiel;tootle;NO;hm;unaware psst
5;quaintly;opposite baggy;restfully;ah furthermore;honestly hmph yawningly;studious;far-flung out;uh-huh exactly tame;thoughtfully spicy unroll;intensely video jovial;reckless nauseate regarding;YES;huzzah after collector;indeed scuff obvious
6;pish;rudely uselessly aw;toward;and resolve;than anarchy;while what huzzah;incur alluvium packaging;or;doubtfully anti immediately;though;besides;YES;round enforcement zowie;meanwhile kookily
7;worth;drizzle;drat journey often;fiercely curly hm;intensely;ah oof;near besides and;jagged even;cuddly present;save;uneven;YES;easily;carefully consequently from
8;oddball;never seashore;bah apud;distant ricochet grease;whereas;upbeat brr meanwhile;freely aware frightfully;amidst drat ick;compress solemnly why;from jib;since alongside barring;NO;overlooked certainly manacle;before oh ack
9;improve professional;gadzooks hilarious;elegantly busy;delightful;portly;which less fringe;underneath equally periodic;since psst;stagger;research connote;sparkling up given;YES;besides wildebeest glorify;therapist morale
10;which;toil though pelt;fooey keenly;hatbox;clave excluding ah;frankly;weird now;inasmuch minus surrounds;sans;gaiters armpit perfumed;between;NO;solidly snappy;between though blind
